,value
2014-07-01,964014.1600000003
2014-07-02,960854.9500000002
2014-07-03,966969.5500000002
2014-07-07,961874.0500000002
2014-07-08,960141.5800000002
2014-07-09,963504.6100000002
2014-07-10,960854.9500000002
2014-07-11,967173.3700000002
2014-07-14,975733.8100000002
2014-07-15,977975.8300000002
2014-07-16,982357.9600000002
2014-07-17,969924.9400000002
2014-07-18,986740.0900000001
2014-07-21,992039.4100000003
2014-07-22,990510.7600000001
2014-07-23,984498.0700000002
2014-07-24,978485.3800000002
2014-07-25,975937.6300000002
2014-07-28,969924.9400000002
2014-07-29,955759.4500000002
2014-07-30,958714.8400000001
2014-07-31,935887.0000000002
2014-08-01,933237.3400000001
2014-08-04,931097.2300000002
2014-08-05,929874.3100000002
2014-08-06,922944.4300000003
2014-08-07,927020.8300000002
2014-08-08,944855.0800000002
2014-08-11,949441.0300000001
2014-08-12,945058.9
2014-08-13,931199.14
2014-08-14,929976.22
2014-08-15,931606.7799999999
2014-08-18,921110.0499999999
2014-08-19,926613.19
2014-08-20,930444.0199999998
2014-08-21,932095.5699999998
2014-08-22,928403.8699999999
2014-08-25,930832.6199999999
2014-08-26,927918.1199999999
2014-08-27,928501.0199999998
2014-08-28,925877.9699999999
2014-08-29,925197.9199999999
2014-09-02,921603.3700000001
2014-09-03,921991.9700000002
2014-09-04,917067.21
2014-09-05,923052.69
2014-09-08,925273.1100000001
2014-09-09,932803.2300000001
2014-09-10,930100.1100000001
2014-09-11,930100.1100000001
2014-09-12,932417.0700000001
2014-09-15,930968.97
2014-09-16,928941.6300000001
2014-09-17,922376.91
2014-09-18,914171.01
2014-09-19,913109.0700000001
2014-09-22,930486.27
2014-09-23,943133.01
2014-09-24,938885.2500000001
2014-09-25,952690.47
2014-09-26,944001.8700000001
2014-09-29,941781.4500000001
2014-09-30,945739.59
2014-10-01,959834.43
2014-10-02,965047.59
2014-10-03,959351.7300000001
2014-10-06,957034.77
2014-10-07,977887.41
2014-10-08,961861.77
2014-10-09,978080.4900000001
2014-10-10,996133.47
2014-10-13,1017758.43
2014-10-14,1012641.81
2014-10-15,1023068.1300000001
2014-10-16,1010711.01
2014-10-17,975280.8300000001
2014-10-20,975860.0700000001
2014-10-21,947670.39
2014-10-22,964661.43
2014-10-23,941298.7500000001
2014-10-24,930486.27
2014-10-27,940140.27
2014-10-28,925948.89
2014-10-29,927107.3700000001
2014-10-30,945148.0
2014-10-31,950388.11
2014-11-03,945840.0899999999
2014-11-04,942181.9
2014-11-05,956221.4399999998
2014-11-06,956221.4399999998
2014-11-07,956814.6599999999
2014-11-10,961758.1599999999
2014-11-11,958890.9299999999
2014-11-12,959187.5399999999
2014-11-13,959681.8899999999
2014-11-14,957012.4
2014-11-17,954441.7799999999
2014-11-18,957407.8799999999
2014-11-19,954837.2599999999
2014-11-20,956419.1799999999
2014-11-21,971249.6799999999
2014-11-24,971645.1599999999
2014-11-25,977676.2299999999
2014-11-26,979653.6299999999
2014-11-28,979554.7599999999
2014-12-01,963043.47
2014-12-02,967591.4899999999
2014-12-03,988453.0599999999
2014-12-04,981433.2899999999
2014-12-05,985684.7
2014-12-08,976390.9199999999
2014-12-09,982026.5099999999
2014-12-10,964032.1699999999
2014-12-11,967888.1
2014-12-12,948015.2299999999
2014-12-15,947323.1399999999
2014-12-16,952958.7299999999
2014-12-17,965614.0899999999
2014-12-18,994978.4799999999
2014-12-19,1000218.5899999999
2014-12-22,1000712.9399999998
2014-12-23,1008325.9299999999
2014-12-24,1008128.1899999998
2014-12-26,1004865.4799999999
2014-12-29,1005260.96
2014-12-30,995868.3099999999
2014-12-31,987958.71
2015-01-02,991023.6799999999
2015-01-05,972139.5099999999
2015-01-06,969865.5
2015-01-07,976885.2699999999
2015-01-08,994681.8699999999
2015-01-09,1012972.82
2015-01-12,1017718.58
