,value
2014-07-02,963213.0392
2014-07-03,964885.1168000001
2014-07-07,941530.4768000002
2014-07-08,921614.5568000001
2014-07-09,922378.2392000001
2014-07-10,914450.5568
2014-07-11,905757.7592000002
2014-07-14,916861.9592000003
2014-07-15,919297.7192000002
2014-07-16,927201.7604000001
2014-07-17,922521.5192000002
2014-07-18,911106.4016000002
2014-07-21,906999.2804
2014-07-22,898784.3216000003
2014-07-23,822537.4386
2014-07-24,843382.9386
2014-07-25,836915.4886
2014-07-28,829058.3386
2014-07-29,828951.4386000001
2014-07-30,832087.3500999999
2014-07-31,815268.2386
2014-08-01,807464.5386000001
2014-08-04,810760.8001000001
2014-08-05,798912.5386000001
2014-08-06,799019.4386
2014-08-07,787206.9886
2014-08-08,791180.4615999999
2014-08-11,790467.4386
2014-08-12,804542.4271000001
2014-08-13,811348.7501
2014-08-14,820328.3501
2014-08-15,818101.0886000001
2014-08-18,827312.1271
2014-08-19,843098.0501
2014-08-20,832996.0001000001
2014-08-21,840817.3386000001
2014-08-22,840550.0886
2014-08-25,838412.0886
2014-08-26,852914.6771
2014-08-27,839427.6386
2014-08-28,829557.0271
2014-08-29,837467.6271
2014-09-02,844683.3771
2014-09-03,844060.1501
2014-09-04,828025.1501
2014-09-05,829218.6886
2014-09-08,831713.2001
2014-09-09,831766.6501
2014-09-10,843757.0886
2014-09-11,837449.9886000002
2014-09-12,856567.4501
2014-09-15,835276.1771000001
2014-09-16,845788.1886
2014-09-17,843739.4501
2014-09-18,846679.2000999999
2014-09-19,857387.3731
2014-09-22,879550.9501
2014-09-23,881279.5231
2014-09-24,864122.0731
2014-09-25,878749.2000999999
2014-09-26,873831.8001
2014-09-29,865957.0116000001
2014-09-30,871124.0231000001
2014-10-01,869377.8116
2014-10-02,879444.0716
2014-10-03,889873.1555
2014-10-06,911105.4155
2014-10-07,903073.1055
2014-10-08,917284.1155
2014-10-09,892007.6155
2014-10-10,880211.9155
2014-10-13,870887.6955
2014-10-14,904589.6954999998
2014-10-15,906780.3254999999
2014-10-16,913576.8954999998
2014-10-17,887869.5715999999
2014-10-20,859746.9376999999
2014-10-21,840068.9015999999
