,value
2015-04-06,1065860.8899999992
2015-04-07,1075964.0099999993
2015-04-08,1076608.8899999992
2015-04-09,1089184.0499999993
2015-04-10,1097030.0899999994
2015-04-13,1080800.6099999992
2015-04-14,1080478.1699999992
2015-04-15,1081338.0099999993
2015-04-16,1072632.1299999994
2015-04-17,1070375.0499999993
2015-04-20,1077146.289999999
2015-04-21,1078113.6099999992
2015-04-22,1079510.8499999994
2015-04-23,1079833.289999999
2015-04-24,1086497.0499999993
2015-04-27,1081123.0499999993
2015-04-28,1082842.7299999993
2015-04-29,1079080.9299999992
2015-04-30,1066290.8099999994
2015-05-01,1076286.4499999993
2015-05-04,1078651.0099999993
2015-05-05,1069515.2099999993
2015-05-06,1065968.3699999992
2015-05-07,1071234.8899999992
2015-05-08,1090688.7699999993
2015-05-11,1085959.6499999992
2015-05-12,1079940.7699999993
2015-05-13,1080800.6099999992
2015-05-14,1094558.0499999993
2015-05-15,1099609.6099999992
2015-05-18,1111647.3699999992
2015-05-19,1117451.289999999
2015-05-20,1113582.0099999993
2015-05-21,1100899.3699999992
2015-05-22,1109175.329999999
2015-05-26,1114871.769999999
2015-05-27,1114151.6899999988
2015-05-28,1114372.0299999989
2015-05-29,1134312.7999999986
2015-06-01,1135414.4999999986
2015-06-02,1137419.0999999987
2015-06-03,1138670.4599999988
2015-06-04,1145041.0199999986
2015-06-05,1152321.6599999985
2015-06-08,1144729.4999999986
2015-06-09,1147650.7499999986
2015-06-10,1155479.6999999988
2015-06-11,1159686.2999999986
2015-06-12,1149286.6499999987
2015-06-15,1139237.5499999986
2015-06-16,1129305.2999999984
2015-06-17,1124981.8499999985
2015-06-18,1105935.2999999984
2015-06-19,1111777.7999999984
2015-06-22,1097538.7499999986
2015-06-23,1094139.5999999985
2015-06-24,1093152.7499999988
2015-06-25,1095455.3999999987
2015-06-26,1089753.5999999987
2015-06-29,1111244.9999999986
2015-06-30,1113657.2999999989
2015-07-01,1102582.6499999987
2015-07-02,1102911.599999999
2015-07-06,1105543.1999999988
2015-07-07,1097648.3999999987
2015-07-08,1110258.1499999987
2015-07-09,1103350.1999999988
2015-07-10,1090959.7499999988
2015-07-13,1087644.2899999989
2015-07-14,1082329.2599999988
2015-07-15,1089271.339999999
2015-07-16,1096755.7699999989
2015-07-17,1085583.359999999
2015-07-20,1088728.989999999
2015-07-21,1088403.579999999
2015-07-22,1086668.059999999
2015-07-23,1086884.999999999
2015-07-24,1075495.649999999
2015-07-27,1066058.7599999988
2015-07-28,1074085.5399999989
2015-07-29,1081786.909999999
2015-07-30,1082980.079999999
2015-07-31,1086993.4699999988
2015-08-03,1084932.5399999989
2015-08-04,1082546.1999999988
2015-08-05,1090356.0399999989
2015-08-06,1074627.889999999
2015-08-07,1072241.5499999989
2015-08-10,1082437.729999999
2015-08-11,1073977.069999999
2015-08-12,1070722.9699999988
2015-08-13,1068228.159999999
2015-08-14,1061394.549999999
2015-08-17,1049896.729999999
2015-08-18,1055320.229999999
2015-08-19,1055971.049999999
2015-08-20,1058162.2099999993
2015-08-21,1023565.6799999991
2015-08-24,994217.539999999
2015-08-25,971831.5499999991
2015-08-26,1018745.729999999
2015-08-27,1030634.9399999991
2015-08-28,1019388.3899999991
2015-08-31,1006642.2999999991
2015-09-01,990682.9099999992
2015-09-02,977187.0499999992
2015-09-03,984791.8599999992
2015-09-04,999037.4899999992
2015-09-08,970867.5599999992
2015-09-09,989290.4799999992
2015-09-10,983934.9799999992
2015-09-11,981685.6699999991
2015-09-14,977508.3799999993
2015-09-15,965940.4999999992
2015-09-16,963691.1899999992
2015-09-17,961227.6599999992
2015-09-18,962258.9499999993
2015-09-21,959580.1699999991
2015-09-22,960713.4999999992
2015-09-23,958137.7499999992
2015-09-24,953707.4599999989
2015-09-25,968955.899999999
2015-09-28,965143.7899999989
2015-09-29,947937.7799999989
2015-09-30,944743.849999999
2015-10-01,946598.389999999
2015-10-02,938768.1099999989
2015-10-05,930216.619999999
2015-10-06,944022.639999999
2015-10-07,927949.9599999989
2015-10-08,934367.7599999992
2015-10-09,937217.5899999992
2015-10-12,943310.3299999991
2015-10-13,938003.7499999992
2015-10-14,928962.9099999992
2015-10-15,954709.6499999992
2015-10-16,965421.0799999991
2015-10-19,962472.9799999992
2015-10-20,966108.9699999992
2015-10-21,965715.8899999992
2015-10-22,980096.9099999993
2015-10-23,987777.5699999994
2015-10-26,986300.5199999993
2015-10-27,983838.7699999993
2015-10-28,980983.1399999992
2015-10-29,972219.3099999992
2015-10-30,975567.2899999992
2015-11-02,964341.7099999993
2015-11-03,968731.3399999992
2015-11-04,968541.3199999991
2015-11-05,972246.7099999991
2015-11-06,968351.2999999992
2015-11-09,958090.2199999993
2015-11-10,963885.8299999993
2015-11-11,967781.2399999992
2015-11-12,952674.6499999992
2015-11-13,948969.2599999992
2015-11-16,961700.5999999992
2015-11-17,964360.8799999992
2015-11-18,975477.0499999992
2015-11-19,973766.8699999992
2015-11-20,973671.8599999992
2015-11-23,976427.1499999992
2015-11-24,969491.4199999992
2015-11-25,968731.3399999992
2015-11-27,972626.7499999992
2015-11-30,961890.6199999992
2015-12-01,972531.7399999992
2015-12-02,969586.4299999991
2015-12-03,957615.1699999992
2015-12-04,978137.3299999993
2015-12-07,981652.6999999991
2015-12-08,983742.9199999991
2015-12-09,986308.1899999991
2015-12-10,981652.6999999991
2015-12-11,990773.6599999991
2015-12-14,996029.9449999991
2015-12-15,1015334.9449999991
2015-12-16,1014359.9449999991
2015-12-17,1030057.4449999991
2015-12-18,1046534.9449999991
2015-12-21,1050142.4449999991
2015-12-22,1039124.9449999993
2015-12-23,1031519.9449999991
2015-12-24,1029277.4449999991
2015-12-28,1034152.4449999991
2015-12-29,1026254.9449999991
2015-12-30,1028692.4449999991
2015-12-31,1039027.4449999991
2016-01-04,1060867.4449999991
2016-01-05,1056772.4449999991
2016-01-06,1061744.9449999991
2016-01-07,1073152.4449999991
2016-01-08,1083487.4449999991
2016-01-11,1089239.9449999994
2016-01-12,1082707.4449999991
2016-01-13,1094602.4449999991
2016-01-14,1076369.9449999991
2016-01-15,1094797.4449999991
2016-01-19,1089922.4449999991
2016-01-20,1106984.9449999991
2016-01-21,1105132.4449999991
2016-01-22,1097234.9449999991
2016-01-25,1100647.4449999991
2016-01-26,1054042.444999999
2016-01-27,1044487.4449999991
2016-01-28,1043414.9449999991
2016-01-29,1022257.4449999991
2016-02-01,1022939.9449999991
