,value
2014-07-11,1181991.660000001
2014-07-14,1187404.3000000012
2014-07-15,1186727.720000001
2014-07-16,1204318.8000000012
2014-07-17,1200259.320000001
2014-07-18,1198906.160000001
2014-07-21,1197553.000000001
2014-07-22,1205671.9600000011
2014-07-23,1202965.640000001
2014-07-24,1207025.120000001
2014-07-25,1192140.360000001
2014-07-28,1193493.5200000012
2014-07-29,1188757.4600000011
2014-07-30,1181315.0800000012
2014-07-31,1151545.560000001
2014-08-01,1137337.380000001
2014-08-04,1151545.560000001
2014-08-05,1141396.860000001
2014-08-06,1148839.2400000012
2014-08-07,1138013.9600000011
2014-08-08,1156281.620000001
2014-08-11,1161694.2600000012
2014-08-12,1164400.5800000012
2014-08-13,1178608.7600000012
2014-08-14,1179285.340000001
2014-08-15,1171166.380000001
2014-08-18,1179285.340000001
2014-08-19,1174549.280000001
2014-08-20,1177932.180000001
2014-08-21,1177255.600000001
2014-08-22,1161694.2600000012
2014-08-25,1165753.7400000012
2014-08-26,1163047.420000001
2014-08-27,1174549.280000001
2014-08-28,1178608.7600000012
2014-08-29,1177932.180000001
2014-09-02,1190787.2000000011
2014-09-03,1181991.660000001
2014-09-04,1168460.060000001
2014-09-05,1159664.5200000012
2014-09-08,1136660.8000000012
2014-09-09,1125158.940000001
2014-09-10,1125158.940000001
2014-09-11,1127188.680000001
2014-09-12,1129218.4200000016
2014-09-15,1137337.3800000015
2014-09-16,1153199.4400000013
2014-09-17,1153897.5000000016
2014-09-18,1157387.8000000014
2014-09-19,1162274.2200000014
2014-09-22,1142030.4800000014
2014-09-23,1128767.3400000015
2014-09-24,1145520.7800000014
2014-09-25,1130861.5200000014
2014-09-26,1139936.3000000014
2014-09-29,1054772.9800000014
2014-09-30,1032435.0600000015
2014-10-01,1018473.8600000015
2014-10-02,1029642.8200000013
2014-10-03,1027548.6400000013
2014-10-06,1032435.0600000013
2014-10-07,1061753.5800000015
2014-10-08,1074433.3000000012
2014-10-09,1046457.2300000011
2014-10-10,1042676.6800000011
2014-10-13,1023773.9300000011
2014-10-14,1014700.6100000012
2014-10-15,1026798.3700000012
2014-10-16,999578.4100000011
2014-10-17,996553.9700000011
2014-10-20,985212.3200000012
2014-10-21,978407.3300000012
2014-10-22,988236.7600000009
2014-10-23,967821.790000001
2014-10-24,924786.380000001
2014-10-27,927470.7800000012
2014-10-28,914048.7800000013
2014-10-29,930826.2800000013
2014-10-30,928141.8800000013
2014-10-31,918746.4800000013
2014-11-03,925457.4800000013
2014-11-04,928141.8800000013
2014-11-05,928812.9800000013
2014-11-06,912035.4800000013
2014-11-07,913377.6800000013
2014-11-10,924786.3800000013
2014-11-11,899955.6800000013
2014-11-12,885862.5800000012
2014-11-13,890256.4400000012
2014-11-14,902778.3200000012
2014-11-17,926629.5200000012
2014-11-18,924244.4000000012
2014-11-19,920666.7200000011
2014-11-20,921859.2800000012
2014-11-21,920070.4400000012
2014-11-24,934381.1600000012
2014-11-25,934977.4400000012
2014-11-26,930803.4800000011
2014-11-28,937958.8400000012
2014-12-01,940343.9600000011
2014-12-02,948095.6000000013
2014-12-03,954654.6800000013
2014-12-04,942729.0800000012
2014-12-05,936170.0000000012
2014-12-08,920070.4400000012
2014-12-09,920070.4400000012
2014-12-10,903970.8800000012
2014-12-11,911126.2400000012
2014-12-12,893834.1200000012
2014-12-15,851498.2400000012
2014-12-16,840168.9200000012
2014-12-17,861635.0000000012
2014-12-18,869982.920000001
2014-12-19,856864.760000001
2014-12-22,845535.440000001
2014-12-23,838976.360000001
2014-12-24,840765.200000001
2014-12-26,831821.000000001
2014-12-29,844755.740000001
2014-12-30,843667.1400000011
2014-12-31,843667.1400000011
2015-01-02,836046.940000001
2015-01-05,842578.540000001
2015-01-06,850198.740000001
2015-01-07,827338.1400000011
2015-01-08,806654.740000001
2015-01-09,818085.040000001
2015-01-12,817540.740000001
2015-01-13,799891.810000001
2015-01-14,794632.9100000008
2015-01-15,781485.6600000008
2015-01-16,789899.900000001
2015-01-20,789374.0100000009
2015-01-21,787270.450000001
2015-01-22,790425.7900000009
2015-01-23,784115.1100000009
2015-01-26,793055.2400000009
2015-01-27,780959.770000001
2015-01-28,760450.060000001
2015-01-29,780959.770000001
2015-01-30,777804.430000001
2015-02-02,748354.590000001
2015-02-03,746421.7100000009
2015-02-04,756914.3900000008
2015-02-05,755960.5100000009
2015-02-06,756437.4500000009
2015-02-09,759299.0900000009
2015-02-10,767407.0700000009
2015-02-11,775038.1100000009
2015-02-12,780284.4500000009
2015-02-13,777422.810000001
2015-02-17,768360.9500000009
2015-02-18,773130.3500000009
2015-02-19,783623.030000001
2015-02-20,782192.2100000009
2015-02-23,781238.3300000009
2015-02-24,780284.450000001
2015-02-25,773130.3500000009
2015-02-26,777427.470000001
2015-02-27,775529.0300000011
