,value
2015-05-13,1109330.5900000003
2015-05-14,1128544.2500000002
2015-05-15,1090851.2100000002
2015-05-18,1091463.1100000003
2015-05-19,1091340.7300000002
2015-05-20,1089015.5100000002
2015-05-21,1094889.7500000002
2015-05-22,1142495.5700000003
2015-05-26,1148002.6700000002
2015-05-27,1154855.9500000002
2015-05-28,1144331.2700000003
2015-05-29,1146534.1100000003
2015-06-01,1133806.5900000003
2015-06-02,1135152.7700000003
2015-06-03,1135030.3900000001
2015-06-04,1124383.3300000003
2015-06-05,1127565.2100000002
2015-06-08,1121201.4500000002
2015-06-09,1124138.5700000003
2015-06-10,1137477.9900000002
2015-06-11,1140782.2500000002
2015-06-12,1132827.5500000003
2015-06-15,1131603.7500000002
2015-06-16,1127442.8300000003
2015-06-17,1129033.7700000003
2015-06-18,1110064.8699999999
2015-06-19,1110554.39
2015-06-22,1098438.77
2015-06-23,1096847.8299999998
2015-06-24,1092931.67
2015-06-25,1092931.67
2015-06-26,1121299.1099999999
2015-06-29,1104092.63
2015-06-30,1128390.97
2015-07-01,1118392.6099999999
2015-07-02,1120252.7699999998
2015-07-06,1111184.4899999998
2015-07-07,1119438.95
2015-07-08,1104092.63
2015-07-09,1099209.71
2015-07-10,1106534.0899999999
2015-07-13,1119322.69
2015-07-14,1120834.07
2015-07-15,1122229.19
2015-07-16,1131646.25
2015-07-17,1127460.89
2015-07-20,1118741.39
2015-07-21,1110486.93
2015-07-22,1102464.9899999998
2015-07-23,1106650.3499999999
2015-07-24,1116416.19
2015-07-27,1130018.6099999999
2015-07-28,1115834.89
2015-07-29,1102348.73
2015-07-30,1103743.8499999999
2015-07-31,1091420.29
2015-08-03,1104790.19
2015-08-04,1108394.2499999998
2015-08-05,1080375.5899999999
2015-08-06,1079445.51
2015-08-07,1076539.01
2015-08-10,1081799.65
2015-08-11,1071777.2499999998
2015-08-12,1092490.21
2015-08-13,1098503.65
2015-08-14,1084695.01
2015-08-17,1086476.77
2015-08-18,1089483.49
2015-08-19,1110975.97
2015-08-20,1125786.85
2015-08-21,1207747.81
2015-08-24,1235810.53
2015-08-25,1254519.01
2015-08-26,1230687.97
2015-08-27,1217770.21
2015-08-28,1216879.33
2015-08-31,1224563.17
2015-09-01,1244385.25
2015-09-02,1235699.17
2015-09-03,1233360.61
2015-09-04,1253071.33
2015-09-08,1243271.65
2015-09-09,1249173.73
2015-09-10,1243605.73
2015-09-11,1252737.25
2015-09-14,1247948.77
2015-09-15,1228683.49
2015-09-16,1229351.65
2015-09-17,1239596.77
2015-09-18,1249507.81
2015-09-21,1253739.49
2015-09-22,1257303.01
2015-09-23,1270109.4100000001
2015-09-24,1291601.89
2015-09-25,1291045.0899999999
2015-09-28,1313873.89
2015-09-29,1315432.93
2015-09-30,1311201.25
2015-10-01,1323562.21
2015-10-02,1315989.73
2015-10-05,1264318.69
2015-10-06,1261757.4100000001
2015-10-07,1256746.21
2015-10-08,1295605.97
2015-10-09,1278953.4900000002
2015-10-12,1255896.2100000002
2015-10-13,1231878.2100000002
2015-10-14,1241325.2900000003
2015-10-15,1242125.8900000004
2015-10-16,1230672.3000000005
2015-10-19,1230186.5100000005
2015-10-20,1236987.5700000005
2015-10-21,1241197.7500000007
2015-10-22,1284918.8500000003
2015-10-23,1299654.4800000007
2015-10-26,1255123.7300000007
2015-10-27,1232615.4600000007
2015-10-28,1278441.6500000006
2015-10-29,1266944.6200000003
2015-10-30,1263058.3000000005
2015-11-02,1298520.9700000004
2015-11-03,1287995.5200000007
2015-11-04,1266944.6200000003
2015-11-05,1272936.0300000003
2015-11-06,1279737.0900000003
2015-11-09,1260701.3200000003
2015-11-10,1261197.3700000003
2015-11-11,1291291.0700000003
2015-11-12,1320723.3700000003
2015-11-13,1297905.0700000003
2015-11-16,1296912.9700000004
2015-11-17,1311959.8200000003
2015-11-18,1300054.6200000003
2015-11-19,1293109.9200000004
2015-11-20,1284181.0200000003
2015-11-23,1298566.4700000002
2015-11-24,1269960.9200000002
2015-11-25,1203443.0000000005
2015-11-27,1189753.8700000006
2015-11-30,1196974.5100000005
2015-12-01,1195771.0700000003
2015-12-02,1193364.1900000004
2015-12-03,1177869.9000000004
2015-12-04,1197275.3700000006
2015-12-07,1189904.3000000003
