,value
2014-10-14,907833.6899999996
2014-10-15,907104.2499999995
2014-10-16,902362.8899999997
2014-10-17,880479.6899999996
2014-10-20,877926.6499999996
2014-10-21,852578.6099999995
2014-10-22,854584.5699999995
2014-10-23,842548.8099999996
2014-10-24,821942.1299999995
2014-10-27,823765.7299999995
2014-10-28,811547.6099999995
2014-10-29,812277.0499999997
2014-10-30,724379.5299999996
2014-10-31,738785.9699999997
2014-11-03,730155.3299999994
2014-11-04,730660.6099999994
2014-11-05,730407.9699999994
2014-11-06,738492.4499999994
2014-11-07,736723.9699999994
2014-11-10,742913.6499999994
2014-11-11,741776.7699999994
2014-11-12,740387.2499999994
2014-11-13,730155.3299999994
2014-11-14,732050.1299999994
2014-11-17,738113.4899999994
2014-11-18,741524.1299999994
2014-11-19,742913.6499999994
2014-11-20,740387.2499999994
2014-11-21,742787.3299999994
2014-11-24,743671.5699999994
2014-11-25,739250.3699999994
2014-11-26,743545.2499999994
2014-11-28,745945.3299999994
2014-12-01,745945.3299999994
2014-12-02,748345.4099999995
2014-12-03,745692.6899999994
2014-12-04,743924.2099999994
2014-12-05,766156.5299999993
2014-12-08,766409.1699999995
2014-12-09,757566.7699999994
2014-12-10,748850.6899999994
2014-12-11,753903.4899999994
2014-12-12,742155.7299999994
2014-12-15,739629.3299999994
2014-12-16,728765.8099999994
2014-12-17,747713.8099999994
2014-12-18,767925.0099999994
2014-12-19,774367.3299999994
2014-12-22,767798.6899999994
2014-12-23,791799.4899999994
2014-12-24,791405.5899999993
2014-12-26,797158.5599999992
2014-12-29,788194.6299999992
2014-12-30,793813.8099999991
2014-12-31,798630.2499999992
2015-01-02,792208.3299999993
2015-01-05,804650.7999999992
2015-01-06,805988.6999999993
2015-01-07,795820.6599999991
2015-01-08,776019.7399999992
2015-01-09,781371.3399999992
2015-01-12,756486.3999999992
2015-01-13,743910.1399999992
2015-01-14,746184.5699999991
2015-01-15,763844.8499999992
2015-01-16,754747.1299999992
2015-01-20,752874.0699999991
2015-01-21,759563.5699999991
2015-01-22,757690.5099999991
2015-01-23,757958.0899999992
2015-01-26,752740.2799999992
2015-01-27,759028.4099999991
2015-01-28,767858.5499999992
2015-01-29,770400.5599999991
2015-01-30,782040.2899999991
2015-02-02,782575.4499999993
2015-02-03,787525.6799999992
2015-02-04,795820.6599999991
