,value
2014-08-13,1099766.8200000003
2014-08-14,1096944.9600000002
2014-08-15,1105410.5400000003
2014-08-18,1096631.4200000004
2014-08-19,1096474.6500000001
2014-08-20,1092712.1700000004
2014-08-21,1087538.7600000002
2014-08-22,1085187.2100000002
2014-08-25,1072175.3000000003
2014-08-26,1065120.6500000001
2014-08-27,1074370.0800000003
2014-08-28,1088242.7400000005
2014-08-29,1093708.9800000004
2014-09-02,1097049.4600000002
2014-09-03,1098264.1800000002
2014-09-04,1096442.1
2014-09-05,1092949.7800000003
2014-09-08,1092494.2600000002
2014-09-09,1109804.0200000003
2014-09-10,1100086.2600000002
2014-09-11,1089001.9400000002
2014-09-12,1106019.5999999999
2014-09-15,1109304.2
2014-09-16,1109304.2
2014-09-17,1116918.5
2014-09-18,1130654.1
2014-09-19,1117366.4
2014-09-22,1111842.3
2014-09-23,1103929.4
2014-09-24,1118859.4
2014-09-25,1102735.0
2014-09-26,1109453.5
2014-09-29,1099002.5
2014-09-30,1099002.5
2014-10-01,1082430.2
2014-10-02,1084819.0
2014-10-03,1098703.9
2014-10-06,1097509.5
2014-10-07,1064066.2999999998
2014-10-08,1058094.3
2014-10-09,1100196.9000000001
2014-10-10,1116172.0
2014-10-13,1133192.2000000002
2014-10-14,1128265.3000000003
2014-10-15,1149465.9000000001
2014-10-16,1143792.5000000002
2014-10-17,1126025.8000000003
2014-10-20,1125428.6
2014-10-21,1102287.1
2014-10-22,1118262.2000000002
2014-10-23,1102735.0000000002
2014-10-24,1058840.8000000003
2014-10-27,1051674.4000000001
2014-10-28,1050197.2000000002
2014-10-29,1111668.12
2014-10-30,1114979.2000000002
2014-10-31,1086331.1600000001
2014-11-03,1092089.56
2014-11-04,1102454.6800000002
2014-11-05,1111668.12
2014-11-06,1120737.6
2014-11-07,1120161.7600000002
2014-11-10,1124624.52
2014-11-11,1118290.2800000003
2014-11-12,1114979.2000000002
2014-11-13,1101015.08
2014-11-14,1095112.7200000002
2014-11-17,1089354.3200000003
2014-11-18,1092089.56
2014-11-19,1092377.48
2014-11-20,1096984.2000000002
2014-11-21,1102310.7200000002
2014-11-24,1111524.1600000001
2014-11-25,1111236.2400000002
2014-11-26,1106629.52
2014-11-28,1104614.08
2014-12-01,1094392.92
2014-12-02,1114547.3200000003
2014-12-03,1127935.6
2014-12-04,1126927.8800000004
2014-12-05,1141323.8800000004
2014-12-08,1147658.12
2014-12-09,1145930.6
2014-12-10,1128367.48
2014-12-11,1125776.2000000002
2014-12-12,1083164.04
2014-12-15,1085755.3200000003
2014-12-16,1078125.44
2014-12-17,1106485.56
2014-12-18,1144059.12
2014-12-19,1147802.08
2014-12-22,1146794.3599999999
2014-12-23,1156439.6800000002
2014-12-24,1164501.4400000002
2014-12-26,1166948.76
2014-12-29,1166804.8000000003
2014-12-30,1176882.0000000002
2014-12-31,1187103.1600000001
2015-01-02,1189262.5600000003
2015-01-05,1207977.36
2015-01-06,1239648.5600000003
2015-01-07,1229571.36
2015-01-08,1206537.76
2015-01-09,1222661.28
2015-01-12,1232162.6400000001
2015-01-13,1234753.9200000002
2015-01-14,1261242.5600000003
2015-01-15,1269448.2800000003
2015-01-16,1256779.8000000003
2015-01-20,1263401.9600000002
2015-01-21,1241232.12
2015-01-22,1258708.9300000002
2015-01-23,1182135.3
2015-01-26,1138052.4
2015-01-27,1150134.38
2015-01-28,1170706.4
2015-01-29,1162216.36
2015-01-30,1166951.19
2015-02-02,1142950.5
2015-02-03,1116174.22
2015-02-04,1130052.17
2015-02-05,1115031.33
2015-02-06,1091683.72
2015-02-09,1109879.0300000003
2015-02-10,1126053.9500000002
2015-02-11,1121973.7900000003
2015-02-12,1127802.5900000003
2015-02-13,1121099.4700000004
2015-02-17,1126053.9500000002
2015-02-18,1111190.5100000002
2015-02-19,1115416.3900000004
2015-02-20,1131299.87
2015-02-23,1123576.7100000002
2015-02-24,1139751.6300000001
2015-02-25,1120808.0300000003
2015-02-26,1120808.03
2015-02-27,1126053.95
2015-03-02,1109733.3100000003
2015-03-03,1112647.71
2015-03-04,1119091.69
2015-03-05,1112239.9900000002
2015-03-06,1061001.1899999997
2015-03-09,1049680.9899999998
2015-03-10,1082896.8399999996
2015-03-11,1066810.2399999995
2015-03-12,1059609.9099999997
2015-03-13,1055870.3299999996
2015-03-16,1077300.9999999998
2015-03-17,1086793.7799999996
2015-03-18,1080609.0899999996
2015-03-19,1076294.1899999995
2015-03-20,1096574.2199999995
2015-03-23,1086937.6099999994
2015-03-24,1075143.5499999996
2015-03-25,1053856.7099999995
2015-03-26,1042925.629999999
2015-03-27,1045514.5699999991
2015-03-30,1039617.5399999991
2015-03-31,1044651.5899999992
2015-04-01,1051254.279999999
2015-04-02,1058696.5199999989
2015-04-06,1033507.3999999992
2015-04-07,1025635.7999999991
2015-04-08,1032138.7999999992
2015-04-09,1038131.5999999993
2015-04-10,1033636.9999999994
2015-04-13,1029550.9999999992
2015-04-14,1033092.1999999993
2015-04-15,1031185.3999999993
2015-04-16,1038669.0399999995
2015-04-17,1028342.1599999996
2015-04-20,1036494.9599999995
2015-04-21,1041794.2799999996
2015-04-22,1058915.1599999997
2015-04-23,1062448.0399999996
2015-04-24,1074541.3599999992
2015-04-27,1066796.199999999
2015-04-28,1092830.1199999996
2015-04-29,1095227.7999999996
2015-04-30,1087752.6799999995
2015-05-01,1095227.7999999996
2015-05-04,1110601.1599999995
2015-05-05,1110742.1999999995
2015-05-06,1100305.2399999995
2015-05-07,1102561.8799999994
2015-05-08,1110742.1999999995
2015-05-11,1100446.2799999993
2015-05-12,1096779.2399999995
2015-05-13,1100164.1999999995
2015-05-14,1096215.0799999994
2015-05-15,1098048.5999999994
2015-05-18,1109895.9599999995
2015-05-19,1115819.6399999994
2015-05-20,1115537.5599999994
2015-05-21,1116242.7599999993
2015-05-22,1118775.1799999995
2015-05-26,1104402.8799999994
2015-05-27,1116640.6799999995
2015-05-28,1125890.1799999995
2015-05-29,1138270.2799999986
2015-06-01,1145242.9799999988
2015-06-02,1149952.379999999
2015-06-03,1167838.379999999
2015-06-04,1171117.479999999
2015-06-05,1153380.529999999
2015-06-08,1149356.1799999988
2015-06-09,1143990.379999999
2015-06-10,1121185.7299999988
2015-06-11,1118800.929999999
2015-06-12,1119191.4599999988
2015-06-15,1107811.4999999988
2015-06-16,1108089.059999999
2015-06-17,1103231.7599999988
2015-06-18,1109060.5199999989
2015-06-19,1095737.639999999
2015-06-22,1103648.099999999
2015-06-23,1108921.739999999
2015-06-24,1106978.819999999
2015-06-25,1091713.0199999989
2015-06-26,1096709.0999999992
2015-06-29,1134040.919999999
2015-06-30,1124187.539999999
2015-07-01,1118219.999999999
2015-07-02,1124048.759999999
2015-07-06,1129461.179999999
2015-07-07,1129322.3999999992
2015-07-08,1157494.7399999993
2015-07-09,1152637.439999999
2015-07-10,1138481.8799999992
2015-07-13,1121134.3799999992
2015-07-14,1116693.419999999
2015-07-15,1110448.3199999991
2015-07-16,1092268.1399999992
2015-07-17,1097251.899999999
2015-07-20,1103057.139999999
2015-07-21,1105130.4399999992
2015-07-22,1117155.579999999
2015-07-23,1101813.159999999
2015-07-24,1041963.8999999991
2015-07-27,1028003.679999999
2015-07-28,1009482.199999999
2015-07-29,1006026.699999999
2015-07-30,995936.639999999
2015-07-31,1004091.619999999
2015-08-03,995383.7599999991
2015-08-04,1004252.3999999994
2015-08-05,1003609.8999999992
2015-08-06,1006822.3999999992
2015-08-07,1008878.3999999994
2015-08-10,1015817.3999999994
2015-08-11,1029952.3999999993
2015-08-12,1036695.5599999995
2015-08-13,1041260.3999999994
2015-08-14,1053612.3199999994
2015-08-17,1049047.4799999995
2015-08-18,1052403.9799999995
2015-08-19,1046630.7999999996
2015-08-20,1047302.0999999995
2015-08-21,1074691.1399999997
2015-08-24,1134034.0599999996
2015-08-25,1152427.6799999995
2015-08-26,1141269.6799999992
2015-08-27,1176263.0999999992
2015-08-28,1173199.1599999995
2015-08-31,1192389.0999999996
2015-09-01,1228511.3399999994
2015-09-02,1210127.6999999997
2015-09-03,1199968.3199999996
2015-09-04,1222867.2399999995
2015-09-08,1187551.2999999996
2015-09-09,1203032.2599999995
2015-09-10,1197226.8999999994
2015-09-11,1198839.4999999995
2015-09-14,1202387.2199999995
2015-09-15,1192227.8399999994
2015-09-16,1189647.6799999995
2015-09-17,1199323.2799999996
2015-09-18,1239477.0199999996
2015-09-21,1225931.1799999995
2015-09-22,1245766.1599999995
2015-09-23,1246572.4599999995
2015-09-24,1259957.0399999996
2015-09-25,1243669.7799999996
2015-09-28,1281565.8799999997
2015-09-29,1277856.8999999994
2015-09-30,1268342.5599999996
2015-10-01,1269955.1599999995
2015-10-02,1269793.8999999994
2015-10-05,1244798.5999999996
2015-10-06,1253829.1599999995
2015-10-07,1239154.4999999995
2015-10-08,1232220.3199999996
2015-10-09,1243185.9999999995
2015-10-12,1237703.1599999995
2015-10-13,1260279.5599999996
2015-10-14,1277534.3799999997
2015-10-15,1247378.7599999995
2015-10-16,1232368.5999999996
2015-10-19,1219956.8799999994
2015-10-20,1227871.5999999996
2015-10-21,1208624.4399999995
2015-10-22,1246039.4799999995
2015-10-23,1207725.0399999996
2015-10-26,1203767.6799999995
2015-10-27,1213661.0799999994
2015-10-28,1265286.6399999997
2015-10-29,1255213.3599999996
2015-10-30,1241182.7199999995
2015-11-02,1264926.8799999994
2015-11-03,1281655.7199999995
2015-11-04,1282015.4799999995
2015-11-05,1303421.1999999995
2015-11-06,1324287.2799999996
2015-11-09,1302701.6799999995
2015-11-10,1284893.5599999996
2015-11-11,1288850.9199999997
2015-11-12,1270323.2799999996
2015-11-13,1258451.1999999995
2015-11-16,1269783.6399999997
2015-11-17,1276798.9599999995
2015-11-18,1310976.1599999995
2015-11-19,1306299.2799999996
2015-11-20,1309177.3599999996
2015-11-23,1306299.2799999996
2015-11-24,1301262.6399999997
2015-11-25,1309896.8799999994
2015-11-27,1309537.1199999994
2015-11-30,1305579.7599999995
2015-12-01,1302881.5599999996
2015-12-02,1301622.3999999994
2015-12-03,1283274.6399999997
2015-12-04,1325546.4399999995
2015-12-07,1304500.4799999995
2015-12-08,1281475.8399999994
2015-12-09,1319790.2799999993
2015-12-10,1315832.9199999995
2015-12-11,1368537.7599999993
2015-12-14,1375553.0799999994
2015-12-15,1345333.2399999995
2015-12-16,1323747.6399999994
2015-12-17,1363501.1199999992
2015-12-18,1393541.0799999994
2015-12-21,1374833.5599999994
2015-12-22,1363501.1199999992
2015-12-23,1349830.2399999995
2015-12-24,1350189.9999999993
2015-12-28,1349650.3599999994
2015-12-29,1341016.1199999992
2015-12-30,1360443.1599999995
2015-12-31,1364220.6399999994
2016-01-04,1386165.9999999993
2016-01-05,1384367.1999999995
2016-01-06,1423401.1599999995
2016-01-07,1474666.9599999995
2016-01-08,1502908.1199999994
2016-01-11,1506685.5999999994
2016-01-12,1490316.5199999993
2016-01-13,1536006.0399999993
2016-01-14,1524673.5999999994
2016-01-15,1569103.9599999995
