,value
2014-06-23,1324678.7299999995
2014-06-24,1304678.2299999995
2014-06-25,1317293.9299999997
2014-06-26,1322524.8299999994
2014-06-27,1323140.2299999995
2014-06-30,1318986.2799999996
2014-07-01,1324832.5799999996
2014-07-02,1320986.3299999996
2014-07-03,1329294.2299999995
2014-07-07,1324678.7299999995
2014-07-08,1323755.6299999997
2014-07-09,1320063.2299999995
2014-07-10,1318063.1799999995
2014-07-11,1327909.5799999994
2014-07-14,1310832.2299999993
2014-07-15,1328217.2799999996
2014-07-16,1297754.9799999995
2014-07-17,1328678.8299999994
2014-07-18,1327448.0299999993
2014-07-21,1330986.5799999994
2014-07-22,1308062.9299999995
2014-07-23,1316233.2299999993
2014-07-24,1308496.529999999
2014-07-25,1303490.4299999992
2014-07-28,1292416.3299999991
2014-07-29,1294236.7299999997
2014-07-30,1295450.3299999998
2014-07-31,1327762.4299999997
2014-08-01,1355068.4299999997
2014-08-04,1374613.9699999995
2014-08-05,1337055.8899999992
2014-08-06,1351643.1799999992
2014-08-07,1334540.8399999994
2014-08-08,1363715.4199999992
2014-08-11,1354828.9099999992
2014-08-12,1348457.4499999995
2014-08-13,1356337.9399999995
2014-08-14,1376122.9999999995
2014-08-15,1368577.8499999996
2014-08-18,1390039.6099999996
2014-08-19,1380482.4199999997
2014-08-20,1370589.8899999997
2014-08-21,1362541.7299999995
2014-08-22,1374949.3099999998
2014-08-25,1365559.7899999998
2014-08-26,1369919.2099999995
2014-08-27,1361703.3799999997
2014-08-28,1367907.1699999997
2014-08-29,1358517.6499999997
2014-09-02,1375284.6499999997
2014-09-03,1363883.0899999996
2014-09-04,1381488.4399999997
2014-09-05,1373104.9399999997
2014-09-08,1364270.9899999998
2014-09-09,1363062.6499999994
2014-09-10,1363580.5099999995
2014-09-11,1370312.6899999995
2014-09-12,1380497.2699999989
2014-09-15,1364098.369999999
2014-09-16,1340794.669999999
2014-09-17,1342693.489999999
2014-09-18,1324828.669999999
2014-09-19,1334602.609999999
2014-09-22,1320024.529999999
2014-09-23,1307268.709999999
2014-09-24,1304121.169999999
2014-09-25,1285070.2699999989
2014-09-26,1294181.5699999991
2014-09-29,1289543.089999999
2014-09-30,1267675.9699999988
2014-10-01,1242495.649999999
2014-10-02,1237360.189999999
2014-10-03,1238685.4699999988
2014-10-06,1241833.0099999988
2014-10-07,1224438.709999999
2014-10-08,1234709.629999999
2014-10-09,1183520.689999999
2014-10-10,1165629.409999999
2014-10-13,1127693.2699999989
2014-10-14,1096714.849999999
2014-10-15,1097543.149999999
2014-10-16,1108808.029999999
2014-10-17,1127858.929999999
2014-10-20,1140283.429999999
2014-10-21,1169439.589999999
2014-10-22,1150388.689999999
2014-10-23,1159665.649999999
2014-10-24,1160825.2699999989
2014-10-27,1140283.429999999
2014-10-28,1163310.169999999
2014-10-29,1157677.7299999988
2014-10-30,1182029.7499999988
2014-10-31,1195282.549999999
2014-11-03,1168942.609999999
2014-11-04,1139289.4699999988
2014-11-05,1157677.7299999988
2014-11-06,1181532.7699999989
2014-11-07,1171593.169999999
2014-11-10,1180870.1299999992
2014-11-11,1178385.229999999
2014-11-12,1187496.529999999
2014-11-13,1187197.999999999
2014-11-14,1205085.499999999
2014-11-17,1205254.249999999
2014-11-18,1209472.999999999
2014-11-19,1217235.499999999
2014-11-20,1235460.499999999
2014-11-21,1242716.749999999
2014-11-24,1237485.499999999
2014-11-25,1210485.499999999
2014-11-26,1195297.999999999
2014-11-28,1114972.999999999
2014-12-01,1143660.499999999
2014-12-02,1167960.499999999
2014-12-03,1194791.749999999
2014-12-04,1169647.999999999
2014-12-05,1145010.499999999
2014-12-08,1097422.999999999
2014-12-09,1096241.749999999
2014-12-10,1072279.249999999
2014-12-11,1073460.499999999
2014-12-12,1053885.499999999
2014-12-15,1041060.4999999991
2014-12-16,1066879.249999999
2014-12-17,1129654.249999999
2014-12-18,1177072.999999999
2014-12-19,1197829.249999999
2014-12-22,1173191.749999999
2014-12-23,1199010.499999999
2014-12-24,1197322.999999999
2014-12-26,1201541.749999999
2014-12-29,1186170.879999999
2014-12-30,1183125.6399999992
2014-12-31,1168406.979999999
2015-01-02,1166038.459999999
2015-01-05,1110547.419999999
2015-01-06,1064699.639999999
2015-01-07,1071805.199999999
2015-01-08,1098535.6399999992
2015-01-09,1099043.1799999988
2015-01-12,1130341.4799999988
2015-01-13,1114920.069999999
2015-01-14,1118133.9699999988
2015-01-15,1096529.419999999
2015-01-16,1126347.2699999989
2015-01-20,1128311.319999999
2015-01-21,1152415.5699999991
2015-01-22,1165985.369999999
2015-01-23,1154379.619999999
2015-01-26,1175269.9699999988
2015-01-27,1170270.5699999991
2015-01-28,1117419.7699999989
2015-01-29,1121704.969999999
2015-01-30,1124561.7699999989
2015-02-02,1174377.2199999988
2015-02-03,1180626.469999999
2015-02-04,1214015.319999999
2015-02-05,1183661.8199999991
2015-02-06,1185090.219999999
2015-02-09,1174442.7399999988
2015-02-10,1176865.9999999988
2015-02-11,1174962.0099999988
2015-02-12,1177731.449999999
2015-02-13,1209580.0099999988
2015-02-17,1202483.319999999
2015-02-18,1172365.659999999
2015-02-19,1166999.869999999
2015-02-20,1166307.5099999988
2015-02-23,1158345.369999999
2015-02-24,1161287.899999999
2015-02-25,1168903.859999999
2015-02-26,1139824.7399999988
2015-02-27,1128573.889999999
2015-03-02,1114726.689999999
2015-03-03,1121304.109999999
2015-03-04,1112130.339999999
2015-03-05,1096206.059999999
2015-03-06,1094128.979999999
2015-03-09,1108322.359999999
2015-03-10,1127362.259999999
2015-03-11,1119919.389999999
2015-03-12,1118880.849999999
2015-03-13,1114034.329999999
2015-03-16,1100879.489999999
2015-03-17,1107629.999999999
