,value
2014-09-04,1162278.6399999997
2014-09-05,1168550.5599999998
2014-09-08,1169865.6399999997
2014-09-09,1159951.9599999997
2014-09-10,1160862.3999999997
2014-09-11,1160356.5999999996
2014-09-12,1168145.9199999997
2014-09-15,1164301.8399999996
2014-09-16,1174721.3199999998
2014-09-17,1180487.4399999997
2014-09-18,1188984.8799999997
2014-09-19,1194447.5199999996
2014-09-22,1186759.3599999996
2014-09-23,1181296.7199999997
2014-09-24,1189996.4799999995
2014-09-25,1169865.6399999997
2014-09-26,1179172.3599999996
2014-09-29,1176744.5199999996
2014-09-30,1190401.1199999994
2014-10-01,1211948.1999999995
2014-10-02,1205878.5999999994
2014-10-03,1192221.9999999993
2014-10-06,1204664.6799999995
2014-10-07,1220951.4399999995
2014-10-08,1203855.3999999994
2014-10-09,1232584.8399999994
2014-10-10,1246544.9199999995
2014-10-13,1264146.7599999993
2014-10-14,1269811.7199999995
2014-10-15,1286401.9599999995
2014-10-16,1285896.1599999995
2014-10-17,1260606.1599999995
2014-10-20,1239767.1999999995
2014-10-21,1211948.1999999995
2014-10-22,1214881.8399999994
2014-10-23,1213364.4399999995
2014-10-24,1211745.8799999994
2014-10-27,1232787.1599999995
2014-10-28,1233090.6399999994
2014-10-29,1257874.8399999994
2014-10-30,1213286.5199999996
2014-10-31,1194495.0199999996
2014-11-03,1215434.1199999999
2014-11-04,1223487.6199999999
2014-11-05,1211568.44
2014-11-06,1195676.2
2014-11-07,1199723.5199999998
2014-11-10,1202390.0199999998
2014-11-11,1203029.98
2014-11-12,1205056.5199999998
2014-11-13,1204736.5399999998
2014-11-14,1198976.9
2014-11-17,1196630.38
2014-11-18,1207189.72
2014-11-19,1207616.3599999999
2014-11-20,1210176.1999999997
2014-11-21,1221908.7999999998
2014-11-24,1221268.8399999999
2014-11-25,1210602.8399999999
2014-11-26,1213269.3399999999
2014-11-28,1255933.3399999996
2014-12-01,1305530.2399999995
2014-12-02,1284944.8599999996
2014-12-03,1252733.5399999996
2014-12-04,1257053.9199999997
2014-12-05,1251430.6799999997
2014-12-08,1285514.4000000001
2014-12-09,1267152.8
2014-12-10,1281383.04
2014-12-11,1276448.36
2014-12-12,1302957.92
2014-12-15,1306400.72
2014-12-16,1311909.2
2014-12-17,1278858.3199999998
2014-12-18,1268988.96
2014-12-19,1253611.12
2014-12-22,1251315.92
2014-12-23,1244200.8
2014-12-24,1247299.3199999998
2014-12-26,1248102.64
2014-12-29,1252348.76
2014-12-30,1269218.48
2014-12-31,1277825.48
2015-01-02,1280235.44
2015-01-05,1306974.52
2015-01-06,1341976.3199999998
2015-01-07,1325336.12
2015-01-08,1299629.88
2015-01-09,1314433.92
2015-01-12,1320975.24
2015-01-13,1307663.08
2015-01-14,1314433.92
2015-01-15,1321893.3199999998
2015-01-16,1304335.04
2015-01-20,1300318.44
2015-01-21,1283793.0
2015-01-22,1294906.26
2015-01-23,1288941.49
2015-01-26,1302818.71
2015-01-27,1296245.29
2015-01-28,1260943.59
2015-01-29,1270681.99
2015-01-30,1263256.46
2015-02-02,1259848.02
2015-02-03,1291376.09
2015-02-04,1271412.3699999999
2015-02-05,1295027.99
2015-02-06,1298679.8900000001
2015-02-09,1305496.77
2015-02-10,1318765.34
2015-02-11,1330694.8800000001
2015-02-12,1348467.46
2015-02-13,1358814.51
2015-02-17,1359423.16
2015-02-18,1358084.1300000001
2015-02-19,1360640.46
2015-02-20,1369891.94
2015-02-23,1356258.18
2015-02-24,1375613.25
2015-02-25,1407871.7
2015-02-26,1413958.2
2015-02-27,1406532.6700000002
2015-03-02,1411645.3299999998
2015-03-03,1414445.1199999999
2015-03-04,1414323.3900000001
2015-03-05,1421505.46
