日期,买卖信号,Q25预测,Q75预测,Q25真实,Q75真实
2021-02-24,0,356.7884332350616,371.35122642832937,356.7884332350616,371.35122642832937
2021-02-25,1,368.13058242283626,383.1563204809112,368.13058242283626,383.1563204809112
2021-02-26,0,367.42819060841356,382.4252596128386,367.42819060841356,382.4252596128386
2021-03-01,-1,350.4409864839629,364.7447002180022,350.4409864839629,364.7447002180022
2021-03-02,1,357.38674642063893,371.97396056025684,357.38674642063893,371.97396056025684
2021-03-03,1,365.3470745167235,380.259200007202,365.3470745167235,380.259200007202
2021-03-04,1,370.3677966106109,385.484849533493,370.3677966106109,385.484849533493
2021-03-05,-1,367.01197532894884,381.9920559546202,367.01197532894884,381.9920559546202
2021-03-08,1,380.1751035778503,395.6924547442931,380.1751035778503,395.6924547442931
2021-03-09,-1,367.87044539227287,382.8855656123656,367.87044539227287,382.8855656123656
2021-03-10,1,370.7579922328643,385.89097150767515,370.7579922328643,385.89097150767515
2021-03-11,-1,365.6072115472869,380.5299548757476,365.6072115472869,380.5299548757476
2021-03-12,1,368.0265236411742,383.04801440203846,368.0265236411742,383.04801440203846
2021-03-15,-1,360.32635242283624,375.0335504809112,360.32635242283624,375.0335504809112
2021-03-16,-1,356.2161198595122,370.7555533231658,356.2161198595122,370.7555533231658
2021-03-17,1,358.32325560841355,372.9486946128386,358.32325560841355,372.9486946128386
2021-03-18,1,369.32722864117426,384.4018094020385,369.32722864117426,384.4018094020385
2021-03-19,0,370.7319924228363,385.8639104809112,370.7319924228363,385.8639104809112
2021-03-22,-1,361.88719445339956,376.6581003494567,361.88719445339956,376.6581003494567
2021-03-23,1,364.09838898396293,378.9595477180023,364.09838898396293,378.9595477180023
2021-03-24,1,370.4718553922729,385.59315561236565,370.4718553922729,385.59315561236565
2021-03-25,0,369.17115039227286,384.2393606123656,369.17115039227286,384.2393606123656
2021-03-26,0,367.5582690472869,382.56064737574764,367.5582690472869,382.56064737574764
2021-03-29,0,367.0900144533996,382.0732803494567,367.0900144533996,382.0732803494567
2021-03-30,1,370.9661097961883,386.10758366542046,370.9661097961883,386.10758366542046
2021-03-31,-1,365.1129372961883,380.01550616542045,365.1129372961883,380.01550616542045
2021-04-01,-1,362.9017427656249,377.7140587968749,362.9017427656249,377.7140587968749
2021-04-05,1,366.5486148867033,381.5097828412626,366.5486148867033,381.5097828412626
2021-04-06,0,367.4511368188322,382.4491424032743,367.4511368188322,382.4491424032743
2021-04-07,1,372.3713828867033,387.5702148412626,372.3713828867033,387.5702148412626
2021-04-08,1,379.5333848612516,395.024543427017,379.5333848612516,395.024543427017
2021-04-09,1,387.21943684428385,403.02431181751996,387.21943684428385,403.02431181751996
2021-04-12,-1,382.09541699699383,397.69114830299355,382.09541699699383,397.69114830299355
2021-04-13,1,391.3826946406706,407.3574985035551,391.3826946406706,407.3574985035551
2021-04-14,-1,384.3953908103483,400.0849985985258,384.3953908103483,400.0849985985258
2021-04-15,1,391.5865128442839,407.56963581751995,391.5865128442839,407.56963581751995
2021-04-16,0,390.5966529460905,406.5393734745024,390.5966529460905,406.5393734745024
2021-04-19,1,392.5763727424772,408.5998981605375,392.5763727424772,408.5998981605375
2021-04-20,-1,387.53969086125164,403.35763742701704,387.53969086125164,403.35763742701704
2021-04-21,0,388.6751288442839,404.53941981751996,388.6751288442839,404.53941981751996
2021-04-22,-1,384.1333769121549,399.81229025550823,384.1333769121549,399.81229025550823
2021-04-23,1,391.06248504789716,407.0242191314848,391.06248504789716,407.0242191314848
2021-04-26,0,392.22702087821943,408.23628703651417,392.22702087821943,408.23628703651417
2021-04-27,0,391.2662588273161,407.23631020802287,391.2662588273161,407.23631020802287
2021-04-28,-1,388.90804489518723,404.7818426460112,388.90804489518723,404.7818426460112
2021-04-29,0,388.61688872550945,404.4788025510405,388.61688872550945,404.4788025510405
2021-04-30,-1,382.73592503092937,398.3577995219878,382.73592503092937,398.3577995219878
2021-05-03,1,385.8801806576384,401.6303921130522,385.8801806576384,401.6303921130522
2021-05-04,-1,372.22580480186446,387.41869479377726,372.22580480186446,387.41869479377726
2021-05-05,0,372.9536730139616,388.1762719124907,372.9536730139616,388.1762719124907
2021-05-06,1,377.72834099699384,393.1458243029936,377.72834099699384,393.1458243029936
2021-05-07,1,382.82326299699383,398.4487023029936,382.82326299699383,398.4487023029936
2021-05-10,1,392.60553722605874,408.63025303120406,392.60553722605874,408.63025303120406
2021-05-11,1,410.2102490344694,426.95352450526417,410.2102490344694,426.95352450526417
2021-05-12,-1,399.9803824870451,416.3061123844755,399.9803824870451,416.3061123844755
2021-05-13,1,404.606636417526,421.1211930059964,404.606636417526,421.1211930059964
2021-05-14,-1,396.52702857682766,412.7118052534329,396.52702857682766,412.7118052534329
2021-05-17,1,400.3713657310635,416.71305412824984,400.3713657310635,416.71305412824984
2021-05-18,1,404.99759480564853,421.52810887934845,404.99759480564853,421.52810887934845
2021-05-19,0,405.51884780058265,422.0706375067289,405.51884780058265,422.0706375067289
2021-05-20,-1,396.98313426835597,413.18652750379914,396.98313426835597,413.18652750379914
2021-05-21,1,403.1079998802335,419.56138763044714,403.1079998802335,419.56138763044714
2021-05-24,-1,397.66729280564846,413.89861087934844,397.66729280564846,413.89861087934844
2021-05-25,0,398.3188652632901,414.57677813117954,398.3188652632901,414.57677813117954
2021-05-26,0,398.48177080564847,414.7463328793484,398.48177080564847,414.7463328793484
2021-05-27,1,403.5966916514127,420.07002600453166,403.5966916514127,420.07002600453166
2021-05-28,1,405.77948672599763,422.34191475563017,405.77948672599763,422.34191475563017
2021-06-01,0,406.8546036514127,423.4609140045316,406.8546036514127,423.4609140045316
2021-06-02,-1,404.31343626835604,420.81602550379915,404.31343626835604,420.81602550379915
2021-06-03,1,409.2654515717618,425.9701638808133,409.2654515717618,425.9701638808133
2021-06-04,-1,401.609363342941,418.00158225489776,401.609363342941,418.00158225489776
2021-06-07,0,401.5767772632901,417.96766613117956,401.5767772632901,417.96766613117956
2021-06-08,-1,398.84014311412034,415.1193326289824,398.84014311412034,415.1193326289824
