日期,买卖信号,Q25预测,Q75预测,Q25真实,Q75真实
2021-03-11,-1,357.17079162597656,371.7491912841797,357.17079162597656,371.7491912841797
2021-03-12,-1,362.1001904296875,376.8797900390625,362.1001904296875,376.8797900390625
2021-03-15,-1,366.8825952148437,381.8573950195313,366.8825952148437,381.8573950195313
2021-03-16,-1,366.0495892333984,380.9903887939453,366.0495892333984,380.9903887939453
2021-03-17,-1,371.6748095703125,386.8452099609375,371.6748095703125,386.8452099609375
2021-03-18,-1,372.8018035888672,388.01820373535156,372.8018035888672,388.01820373535156
2021-03-19,-1,365.03041076660156,379.9296112060547,365.03041076660156,379.9296112060547
2021-03-22,-1,364.1581964111328,379.02179626464846,364.1581964111328,379.02179626464846
2021-03-23,-1,350.3401904296875,364.6397900390625,350.3401904296875,364.6397900390625
2021-03-24,-1,353.6918035888672,368.1282037353516,353.6918035888672,368.1282037353516
2021-03-25,-1,359.4639880371094,374.1359875488282,359.4639880371094,374.1359875488282
2021-03-26,-1,364.8442083740234,379.7358087158203,364.8442083740234,379.7358087158203
2021-03-29,-1,360.61060119628905,375.3294012451172,360.61060119628905,375.3294012451172
2021-03-30,-1,366.44161315917967,381.3984136962891,366.44161315917967,381.3984136962891
2021-03-31,-1,366.65721435546874,381.62281494140626,366.65721435546874,381.62281494140626
2021-04-01,-1,364.67759521484373,379.56239501953127,364.67759521484373,379.56239501953127
2021-04-05,-1,367.31379760742186,382.30619750976564,367.31379760742186,382.30619750976564
2021-04-06,-1,368.09778564453126,383.12218505859374,368.09778564453126,383.12218505859374
2021-04-07,-1,367.2942083740234,382.28580871582034,367.2942083740234,382.28580871582034
2021-04-08,-1,366.58860717773445,381.55140747070317,366.58860717773445,381.55140747070317
2021-04-09,-1,369.46,384.54,369.46,384.54
2021-04-12,-1,370.6948095703125,385.8252099609375,370.6948095703125,385.8252099609375
2021-04-13,-1,371.0966131591797,386.24341369628905,371.0966131591797,386.24341369628905
2021-04-14,-1,373.87,389.13,373.87,389.13
2021-04-15,-1,374.49721435546877,389.78281494140623,374.49721435546877,389.78281494140623
2021-04-16,-1,375.40860717773444,390.7314074707032,375.40860717773444,390.7314074707032
2021-04-19,-1,373.10560119628906,388.3344012451172,373.10560119628906,388.3344012451172
2021-04-20,-1,362.8645892333984,377.67538879394533,362.8645892333984,377.67538879394533
2021-04-21,-1,368.0880059814453,383.11200622558596,368.0880059814453,383.11200622558596
2021-04-22,-1,360.99278564453124,375.72718505859376,360.99278564453124,375.72718505859376
2021-04-23,-1,368.7445892333984,383.79538879394534,368.7445892333984,383.79538879394534
2021-04-26,-1,372.84101196289066,388.05901245117195,372.84101196289066,388.05901245117195
2021-04-27,-1,374.71278564453127,390.00718505859373,374.71278564453127,390.00718505859373
2021-04-28,-1,372.2039880371094,387.3959875488282,372.2039880371094,387.3959875488282
2021-04-29,-1,368.8622143554687,383.9178149414063,368.8622143554687,383.9178149414063
2021-04-30,-1,363.4330059814453,378.26700622558593,363.4330059814453,378.26700622558593
2021-05-03,-1,366.2945892333984,381.2453887939453,366.2945892333984,381.2453887939453
2021-05-04,-1,371.9883868408203,387.17158630371097,371.9883868408203,387.17158630371097
2021-05-05,-1,371.28278564453126,386.43718505859374,371.28278564453126,386.43718505859374
2021-05-06,-1,382.1118035888672,397.70820373535156,382.1118035888672,397.70820373535156
2021-05-07,-1,386.3356011962891,402.1044012451172,386.3356011962891,402.1044012451172
2021-05-10,-1,383.5719940185547,399.2279937744141,383.5719940185547,399.2279937744141
2021-05-11,-1,375.53601196289065,390.86401245117196,375.53601196289065,390.86401245117196
2021-05-12,-1,366.15740478515625,381.10260498046875,366.15740478515625,381.10260498046875
2021-05-13,-1,370.54778564453125,385.67218505859375,370.54778564453125,385.67218505859375
2021-05-14,-1,376.32,391.68,376.32,391.68
2021-05-17,-1,375.8789880371094,391.2209875488282,375.8789880371094,391.2209875488282
2021-05-18,-1,362.29620239257815,377.08380249023446,362.29620239257815,377.08380249023446
2021-05-19,-1,351.25161315917967,365.5884136962891,351.25161315917967,365.5884136962891
2021-05-20,-1,348.11560119628905,362.3244012451172,348.11560119628905,362.3244012451172
2021-05-21,-1,352.555,366.945,352.555,366.945
2021-05-24,-1,352.17278564453125,366.54718505859375,352.17278564453125,366.54718505859375
2021-05-25,-1,353.47620239257816,367.90380249023445,353.47620239257816,367.90380249023445
2021-05-26,-1,350.5851904296875,364.8947900390625,350.5851904296875,364.8947900390625
2021-05-27,-1,354.9657916259766,369.4541912841797,354.9657916259766,369.4541912841797
2021-05-28,-1,353.8780059814453,368.32200622558594,353.8780059814453,368.32200622558594
2021-06-01,-1,357.3177856445312,371.9021850585938,357.3177856445312,371.9021850585938
2021-06-02,-1,349.57579162597654,363.8441912841797,349.57579162597654,363.8441912841797
2021-06-03,-1,351.7318035888672,366.08820373535156,351.7318035888672,366.08820373535156
2021-06-04,-1,349.50721435546876,363.77281494140624,349.50721435546876,363.77281494140624
2021-06-07,-1,348.32139282226564,362.53859252929686,348.32139282226564,362.53859252929686
2021-06-08,-1,349.4483868408203,363.71158630371093,349.4483868408203,363.71158630371093
2021-06-09,-1,342.5393988037109,356.5205987548828,342.5393988037109,356.5205987548828
2021-06-10,-1,334.6112023925781,348.2688024902344,334.6112023925781,348.2688024902344
2021-06-11,-1,334.73860717773437,348.40140747070313,334.73860717773437,348.40140747070313
2021-06-14,-1,328.82920837402344,342.2508087158203,328.82920837402344,342.2508087158203
2021-06-15,-1,331.3380059814453,344.86200622558596,331.3380059814453,344.86200622558596
2021-06-16,-1,329.8287976074218,343.2911975097656,329.8287976074218,343.2911975097656
2021-06-17,-1,321.8124047851562,334.9476049804688,321.8124047851562,334.9476049804688
2021-06-18,-1,322.3906011962891,335.54940124511717,322.3906011962891,335.54940124511717
2021-06-21,-1,331.1224047851562,344.6376049804688,331.1224047851562,344.6376049804688
2021-06-22,-1,335.2580059814453,348.94200622558594,335.2580059814453,348.94200622558594
2021-06-23,-1,340.795,354.705,340.795,354.705
2021-06-24,-1,343.60759521484374,357.63239501953126,343.60759521484374,357.63239501953126
2021-06-25,-1,342.9901904296875,356.9897900390625,342.9901904296875,356.9897900390625
2021-06-28,-1,342.89221435546875,356.88781494140625,342.89221435546875,356.88781494140625
2021-06-29,-1,341.95139282226563,355.90859252929687,341.95139282226563,355.90859252929687
2021-06-30,-1,345.6557916259766,359.7641912841797,345.6557916259766,359.7641912841797
2021-07-01,-1,347.20420837402344,361.3758087158203,347.20420837402344,361.3758087158203
2021-07-02,-1,345.45,359.55,345.45,359.55
2021-07-06,-1,342.4610119628906,356.4390124511719,342.4610119628906,356.4390124511719
2021-07-07,-1,344.84240478515625,358.91760498046875,344.84240478515625,358.91760498046875
2021-07-08,-1,336.7083868408203,350.45158630371094,336.7083868408203,350.45158630371094
2021-07-09,-1,342.49041076660154,356.4696112060547,342.49041076660154,356.4696112060547
2021-07-12,-1,347.19439880371095,361.3655987548828,347.19439880371095,361.3655987548828
